chrBase	chr	base	strand	coverage	freqC	freqT
chr1.10363	chr1	10363	F	17	94.12	5.88
chr1.10385	chr1	10385	F	17	100.00	0.00
chr1.10445	chr1	10445	F	16	100.00	0.00
chr1.6052	chr1	6052	F	11	27.27	72.73
chr1.6809	chr1	6809	F	10	20.00	80.00
chr1.6842	chr1	6842	F	11	81.82	18.18
chr1.6977	chr1	6977	F	14	78.57	21.43
chr1.6992	chr1	6992	F	12	83.33	16.67
chr1.8272	chr1	8272	F	10	30.00	70.00
chr1.10046	chr1	10046	R	10	100.00	0.00
chr1.10075	chr1	10075	R	12	100.00	0.00
chr1.10127	chr1	10127	R	11	81.82	18.18
chr1.6810	chr1	6810	R	10	40.00	60.00
chr1.6978	chr1	6978	R	10	90.00	10.00
chr1.6993	chr1	6993	R	11	90.91	9.09
chr1.7177	chr1	7177	R	15	93.33	6.67
chr1.7229	chr1	7229	R	14	85.71	14.29
chr1.7523	chr1	7523	R	14	78.57	21.43
chr1.7547	chr1	7547	R	14	78.57	21.43
chr1.7645	chr1	7645	R	12	8.33	91.67
chr1.7886	chr1	7886	R	10	20.00	80.00
chr1.8273	chr1	8273	R	10	20.00	80.00
chr1.8306	chr1	8306	R	12	41.67	58.33
chr1.8571	chr1	8571	R	10	70.00	30.00
chr1.8627	chr1	8627	R	10	30.00	70.00
chr1.8846	chr1	8846	R	10	80.00	20.00
chr1.9908	chr1	9908	R	11	72.73	27.27
