chrBase	chr	base	strand	coverage	freqC	freqT
chr1.10288	chr1	10288	F	10	0.00	100.00
chr1.10313	chr1	10313	F	11	0.00	100.00
chr1.10321	chr1	10321	F	11	0.00	100.00
chr1.10338	chr1	10338	F	13	15.38	84.62
chr1.10359	chr1	10359	F	17	5.88	94.12
chr1.10375	chr1	10375	F	18	0.00	100.00
chr1.10407	chr1	10407	F	18	0.00	100.00
chr1.10426	chr1	10426	F	18	0.00	100.00
chr1.10475	chr1	10475	F	14	0.00	100.00
chr1.10494	chr1	10494	F	12	0.00	100.00
chr1.10498	chr1	10498	F	11	0.00	100.00
chr1.6028	chr1	6028	F	11	0.00	100.00
chr1.6035	chr1	6035	F	11	0.00	100.00
chr1.6039	chr1	6039	F	11	0.00	100.00
chr1.6056	chr1	6056	F	12	0.00	100.00
chr1.6377	chr1	6377	F	10	0.00	100.00
chr1.6390	chr1	6390	F	10	0.00	100.00
chr1.6393	chr1	6393	F	11	0.00	100.00
chr1.6397	chr1	6397	F	12	0.00	100.00
chr1.6404	chr1	6404	F	13	0.00	100.00
chr1.6411	chr1	6411	F	12	0.00	100.00
chr1.6420	chr1	6420	F	15	0.00	100.00
chr1.6426	chr1	6426	F	15	0.00	100.00
chr1.6435	chr1	6435	F	14	0.00	100.00
chr1.6468	chr1	6468	F	10	0.00	100.00
chr1.6473	chr1	6473	F	10	0.00	100.00
chr1.6482	chr1	6482	F	10	0.00	100.00
chr1.6532	chr1	6532	F	10	0.00	100.00
chr1.6566	chr1	6566	F	10	0.00	100.00
chr1.6805	chr1	6805	F	10	0.00	100.00
chr1.6918	chr1	6918	F	14	0.00	100.00
chr1.6926	chr1	6926	F	14	0.00	100.00
chr1.6971	chr1	6971	F	14	0.00	100.00
chr1.6979	chr1	6979	F	12	0.00	100.00
chr1.6989	chr1	6989	F	11	0.00	100.00
chr1.6999	chr1	6999	F	12	0.00	100.00
chr1.7489	chr1	7489	F	10	0.00	100.00
chr1.8271	chr1	8271	F	10	0.00	100.00
chr1.8304	chr1	8304	F	10	0.00	100.00
chr1.8382	chr1	8382	F	10	0.00	100.00
chr1.10058	chr1	10058	R	11	9.09	90.91
chr1.10076	chr1	10076	R	11	0.00	100.00
chr1.10081	chr1	10081	R	13	0.00	100.00
chr1.10105	chr1	10105	R	12	8.33	91.67
chr1.10120	chr1	10120	R	13	0.00	100.00
chr1.10128	chr1	10128	R	11	0.00	100.00
chr1.10241	chr1	10241	R	10	0.00	100.00
chr1.10254	chr1	10254	R	10	0.00	100.00
chr1.10529	chr1	10529	R	10	0.00	100.00
chr1.10532	chr1	10532	R	11	0.00	100.00
chr1.10535	chr1	10535	R	11	0.00	100.00
chr1.10539	chr1	10539	R	11	9.09	90.91
chr1.10543	chr1	10543	R	11	18.18	81.82
