chr	start	end	strand	pvalue	qvalue	meth.diff
chr1	6809	6809	+	0.00119377477868044	0.00000000000000000053281325817012	30
chr1	6842	6842	+	0.00647504603684756	0.00000000000000000252873626804991	48.4848484848485
chr1	6977	6977	+	0.00000580233381849539	0.00000000000000000000906407267695987	63.3333333333333
chr1	6992	6992	+	0.000013510489564021	0.0000000000000000000140702072809902	61.9565217391304
chr1	7176	7176	+	0.00000051022665137528	0.00000000000000000000159409354733977	79.047619047619
chr1	7228	7228	+	0.0000194590254171902	0.0000000000000000000151988860104879	69.047619047619
chr1	7522	7522	+	0.187258890769327	0.0000000000000000390033447100131	22.5714285714286
chr1	7546	7546	+	0.0218776618665384	0.00000000000000000621382308828776	40.1098901098901
chr1	7644	7644	+	0.0106127851334944	0.00000000000000000368415188187145	-47.6666666666667
chr1	8272	8272	+	0.000394233741684689	0.000000000000000000246339724539769	-52.4193548387097
chr1	8305	8305	+	0.295972424893448	0.0000000000000000577938906466157	-22.6190476190476
chr1	8570	8570	+	0.128205128205128	0.0000000000000000308114905792425	-24.1176470588235
chr1	8626	8626	+	0.00093915746089659	0.000000000000000000489032617274405	-64.1176470588235
chr1	8845	8845	+	0.0967741935483871	0.0000000000000000251958479414128	-20
chr1	9907	9907	+	0.319345661450925	0.0000000000000000586898180062797	-16.9278996865204
chr1	10045	10045	+	1	0.000000000000000148775483082628	4
chr1	10074	10074	+	0.0184333060404512	0.00000000000000000575909042305391	36
chr1	10126	10126	+	0.145502645502645	0.0000000000000000324708395616847	-18.1818181818182
chr1	10363	10363	+	0.361702127659575	0.0000000000000000627811435703288	-5.88235294117648
chr1	10385	10385	+	1	0.000000000000000148775483082628	0
chr1	10445	10445	+	1	0.000000000000000148775483082628	5.88235294117648
