chrBase	chr	base	strand	coverage	freqC	freqT
chr1.10347	chr1	10347	F	13	0.00	100.00
chr1.10348	chr1	10348	F	13	23.08	76.92
chr1.10355	chr1	10355	F	15	6.67	93.33
chr1.10358	chr1	10358	F	16	0.00	100.00
chr1.10367	chr1	10367	F	18	5.56	94.44
chr1.10370	chr1	10370	F	18	0.00	100.00
chr1.10381	chr1	10381	F	18	11.11	88.89
chr1.10383	chr1	10383	F	18	0.00	100.00
chr1.10388	chr1	10388	F	17	0.00	100.00
chr1.10389	chr1	10389	F	17	5.88	94.12
chr1.10391	chr1	10391	F	17	0.00	100.00
chr1.10403	chr1	10403	F	17	0.00	100.00
chr1.10404	chr1	10404	F	17	0.00	100.00
chr1.10405	chr1	10405	F	18	0.00	100.00
chr1.10423	chr1	10423	F	18	0.00	100.00
chr1.10431	chr1	10431	F	18	0.00	100.00
chr1.10434	chr1	10434	F	17	0.00	100.00
chr1.10451	chr1	10451	F	16	0.00	100.00
chr1.10455	chr1	10455	F	15	0.00	100.00
chr1.10456	chr1	10456	F	15	0.00	100.00
chr1.10461	chr1	10461	F	15	0.00	100.00
chr1.10474	chr1	10474	F	14	0.00	100.00
chr1.10484	chr1	10484	F	14	0.00	100.00
chr1.10508	chr1	10508	F	10	0.00	100.00
chr1.10509	chr1	10509	F	10	0.00	100.00
chr1.6033	chr1	6033	F	11	0.00	100.00
chr1.6045	chr1	6045	F	11	0.00	100.00
chr1.6048	chr1	6048	F	11	0.00	100.00
chr1.6049	chr1	6049	F	11	0.00	100.00
chr1.6070	chr1	6070	F	12	8.33	91.67
chr1.6072	chr1	6072	F	11	0.00	100.00
chr1.6073	chr1	6073	F	11	0.00	100.00
chr1.6074	chr1	6074	F	11	0.00	100.00
chr1.6085	chr1	6085	F	10	0.00	100.00
chr1.6372	chr1	6372	F	10	0.00	100.00
chr1.6373	chr1	6373	F	11	0.00	100.00
chr1.6374	chr1	6374	F	11	0.00	100.00
chr1.6375	chr1	6375	F	11	0.00	100.00
chr1.6387	chr1	6387	F	10	0.00	100.00
chr1.6396	chr1	6396	F	12	0.00	100.00
chr1.6401	chr1	6401	F	13	0.00	100.00
chr1.6402	chr1	6402	F	13	0.00	100.00
chr1.6418	chr1	6418	F	15	0.00	100.00
chr1.6423	chr1	6423	F	15	0.00	100.00
chr1.6429	chr1	6429	F	13	0.00	100.00
chr1.6431	chr1	6431	F	14	0.00	100.00
chr1.6433	chr1	6433	F	14	0.00	100.00
chr1.6440	chr1	6440	F	11	0.00	100.00
chr1.6447	chr1	6447	F	11	0.00	100.00
chr1.6448	chr1	6448	F	12	0.00	100.00
chr1.6451	chr1	6451	F	12	0.00	100.00
chr1.6453	chr1	6453	F	12	0.00	100.00
chr1.6458	chr1	6458	F	11	0.00	100.00
chr1.6489	chr1	6489	F	10	0.00	100.00
chr1.6490	chr1	6490	F	10	0.00	100.00
chr1.6536	chr1	6536	F	10	0.00	100.00
chr1.6538	chr1	6538	F	10	0.00	100.00
chr1.6541	chr1	6541	F	10	0.00	100.00
